case_id	side	waffle_status	cherchi_class	cherchi_detail
R0001	A	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0001	B	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0002	A	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0002	B	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0003	A	MissingDump		
R0003	B	MissingDump		
R0004	A	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0004	B	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0005	A	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0005	B	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0006	A	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0006	B	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0007	A	Failed	combined_failures	Manifold check: failed;Watertight check: failed;Local  Orientation check: failed;Global Orientation check: failed;Intersection check: failed
R0007	B	Failed	combined_failures	Manifold check: failed;Watertight check: failed;Local  Orientation check: failed;Global Orientation check: passed;Intersection check: failed
R0008	A	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0008	B	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0009	A	Failed	non_watertight	Manifold check: passed;Watertight check: failed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0009	B	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0010	A	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0010	B	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0011	A	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0011	B	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0012	A	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0012	B	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0013	A	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0013	B	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0014	A	Failed	combined_failures	Manifold check: failed;Watertight check: failed;Local  Orientation check: failed;Global Orientation check: passed;Intersection check: failed
R0014	B	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0015	A	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0015	B	Failed	combined_failures	Manifold check: failed;Watertight check: failed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0016	A	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0016	B	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0017	A	Failed	combined_failures	Manifold check: passed;Watertight check: failed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: failed
R0017	B	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0018	A	Passed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0018	B	Passed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
