case	op	operand	verts	tris	clean	introduced	nonmanifold_edges	nonmanifold_verts	boundary_edges	misoriented_pairs	improper_pairs	unresolved_pairs	duplicate_tris	index_degenerate	collinear_degenerate	vertex_twins	unreferenced_verts
F0001	000_union	a	8	12	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0001	000_union	b	8	12	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0002	001_union	a	18	32	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0002	001_union	b	18	32	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0003	002_union	a	12	20	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0003	002_union	b	12	20	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0004	003_union	a	18	32	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0004	003_union	b	18	32	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0005	004_union	a	8	12	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0005	004_union	b	8	12	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0006	005_union	a	18	32	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0006	005_union	b	18	32	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0007	006_union	a	16	28	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0007	006_union	b	8	12	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0008	007_union	a	8	12	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0008	007_union	b	16	28	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0009	008_union	a	12	20	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0009	008_union	b	12	20	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0010	009_union	a	12	20	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0010	009_union	b	12	20	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0026	040_union	a	19	34	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0026	040_union	b	22	40	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0027	041_union	a	20	36	false	true	0/0	0/0	0/0	6/0	2/0	0/0	0/0	0/0	0/0	0/0	0/0
F0027	041_union	b	24	44	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0028	042_union	a	20	36	false	true	0/0	0/0	0/0	3/0	1/0	0/0	0/0	0/0	0/0	0/0	0/0
F0028	042_union	b	24	44	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0029	043_union	a	22	40	false	true	0/0	0/0	0/0	6/0	4/0	0/0	0/0	0/0	0/0	0/0	0/0
F0029	043_union	b	28	52	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0030	044_union	a	21	38	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0030	044_union	b	26	48	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0051	065_union	a	16	28	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0051	065_union	b	8	12	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0052	066_union	a	41	78	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0052	066_union	b	28	52	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0053	067_union	a	16	28	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0053	067_union	b	8	12	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0061	075_subtract	a	1254	2504	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0061	075_subtract	b	161	318	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0062	076_subtract	a	20	36	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0062	076_subtract	b	24	44	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0063	077_union	a	1182	2360	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
